iter	Passed	Remaining
490	518	537
491	519	535
492	519	534
493	520	533
494	521	532
495	523	531
496	524	530
497	525	529
498	527	529
499	528	528
500	529	527
501	531	527
502	533	526
503	534	526
504	536	525
505	538	525
506	540	525
507	542	525
508	543	524
509	545	523
510	546	523
511	548	522
512	549	522
513	551	521
514	552	520
515	554	519
516	555	519
517	557	518
518	559	518
519	561	518
520	562	517
521	563	516
522	565	515
523	566	514
524	567	513
525	569	513
526	570	512
527	572	511
528	573	510
529	574	509
530	575	508
531	577	508
532	578	507
533	580	506
534	581	505
535	582	504
536	583	503
537	584	502
538	586	501
539	587	500
540	588	499
541	590	498
542	591	497
543	592	496
544	594	495
545	595	495
546	597	494
547	598	493
548	599	492
549	600	491
550	602	491
551	604	490
552	610	493
553	615	495
554	617	494
555	618	493
556	619	492
557	620	491
558	621	490
559	623	489
560	624	488
561	626	487
562	627	486
563	628	485
564	629	484
565	630	483
566	631	482
567	633	481
568	634	480
569	636	480
570	638	479
571	639	478
572	640	477
573	642	476
574	643	475
575	645	474
576	646	473
577	647	472
578	648	471
579	651	471
580	652	470
581	654	469
582	655	468
583	656	467
584	658	466
585	659	465
586	665	468
587	669	468
588	670	467
589	671	466
590	672	465
591	674	464
592	675	463
593	676	462
594	678	461
595	679	460
596	681	459
597	682	458
598	683	457
599	685	456
600	687	456
601	688	455
602	689	454
603	691	453
604	692	452
605	694	451
606	696	450
607	697	449
608	698	448
609	699	447
610	701	446
611	702	445
612	704	444
613	706	444
614	707	443
615	709	442
616	711	441
617	712	440
618	713	439
619	715	438
620	717	437
621	719	436
622	720	436
623	721	435
624	724	434
625	725	433
626	726	432
627	728	431
628	729	430
629	730	429
630	732	428
631	734	427
632	735	426
633	737	425
634	738	424
635	739	423
636	741	422
637	742	421
638	743	420
639	744	419
640	746	418
641	748	417
642	749	415
643	750	414
644	752	413
645	753	412
646	754	411
647	755	410
648	756	409
649	758	408
650	760	407
651	761	406
652	762	405
653	763	404
654	765	402
655	766	402
656	767	400
657	769	400
658	771	398
659	772	398
660	776	398
661	781	399
662	784	398
663	785	397
664	787	396
665	789	395
666	790	394
667	791	393
668	792	392
669	793	390
670	794	389
671	796	388
672	797	387
673	799	386
674	800	385
675	801	384
676	803	383
677	804	381
678	806	381
679	807	380
680	808	378
681	810	377
682	811	376
683	812	375
684	814	374
685	816	373
686	817	372
687	818	371
688	819	370
689	821	368
690	822	367
691	823	366
692	825	365
693	827	364
694	828	363
695	829	362
696	831	361
697	832	360
698	834	359
699	835	357
700	836	356
701	837	355
702	838	354
703	839	353
704	841	351
705	842	350
706	844	349
707	845	348
708	846	347
709	848	346
710	850	345
711	851	344
712	852	343
713	853	341
714	854	340
715	856	339
716	857	338
717	860	337
718	861	336
719	863	335
720	864	334
721	866	333
722	867	332
723	869	331
724	870	330
725	872	329
726	873	328
727	875	327
728	876	326
729	878	324
730	879	323
731	880	322
732	882	321
733	883	320
734	884	318
735	885	317
736	887	316
737	889	315
738	890	314
739	892	313
740	893	312
741	894	311
742	896	310
743	898	309
744	899	307
745	900	306
746	901	305
747	902	304
748	903	302
749	905	301
750	907	300
751	908	299
752	909	298
753	910	297
754	912	295
755	913	294
756	914	293
757	916	292
758	917	291
759	919	290
760	920	289
761	921	287
762	923	286
763	924	285
764	925	284
765	927	283
766	928	281
767	929	280
768	930	279
769	932	278
770	933	277
771	935	276
772	936	275
773	938	273
774	939	272
775	940	271
776	941	270
777	943	269
778	944	267
779	945	266
780	947	265
781	948	264
782	949	263
783	951	262
784	953	261
785	954	259
786	956	258
787	957	257
788	958	256
789	959	255
790	961	253
791	962	252
792	963	251
793	964	250
794	965	249
795	967	247
796	968	246
797	969	245
798	970	244
799	971	242
800	973	241
801	974	240
802	975	239
803	976	238
804	978	236
805	979	235
806	980	234
807	981	233
808	983	232
809	984	230
810	985	229
811	986	228
812	988	227
813	989	226
814	990	224
815	991	223
816	993	222
817	994	221
818	995	220
819	997	218
820	998	217
821	1000	216
822	1001	215
823	1002	214
824	1003	212
825	1005	211
826	1006	210
827	1008	209
828	1009	208
829	1010	206
830	1012	205
831	1013	204
832	1014	203
833	1016	202
834	1017	201
835	1018	199
836	1019	198
837	1021	197
838	1022	196
839	1023	195
840	1025	193
841	1026	192
842	1028	191
843	1029	190
844	1030	189
845	1031	187
846	1033	186
847	1034	185
848	1036	184
849	1037	183
850	1039	181
851	1040	180
852	1041	179
853	1043	178
854	1044	177
855	1045	175
856	1047	174
857	1048	173
858	1049	172
859	1050	171
860	1052	169
861	1053	168
862	1055	167
863	1056	166
864	1058	165
865	1060	164
866	1061	162
867	1063	161
868	1064	160
869	1066	159
870	1067	158
871	1069	156
872	1070	155
873	1071	154
874	1073	153
875	1074	152
876	1076	150
877	1077	149
878	1079	148
879	1080	147
880	1082	146
881	1083	144
882	1085	143
883	1086	142
884	1089	141
885	1090	140
886	1091	139
887	1092	137
888	1093	136
889	1095	135
890	1096	134
891	1098	133
892	1100	131
893	1101	130
894	1103	129
895	1104	128
896	1105	126
897	1107	125
898	1108	124
899	1110	123
900	1112	122
901	1114	121
902	1115	119
903	1117	118
904	1118	117
905	1119	116
906	1121	114
907	1123	113
908	1125	112
909	1126	111
910	1128	110
911	1130	109
912	1132	107
913	1133	106
914	1135	105
915	1136	104
916	1137	102
917	1138	101
918	1139	100
919	1141	99
920	1142	97
921	1143	96
922	1145	95
923	1146	94
924	1147	93
925	1148	91
926	1149	90
927	1150	89
928	1152	88
929	1153	86
930	1155	85
931	1156	84
932	1158	83
933	1159	81
934	1160	80
935	1162	79
936	1163	78
937	1164	76
938	1166	75
939	1167	74
940	1169	73
941	1170	72
942	1171	70
943	1173	69
944	1174	68
945	1175	67
946	1177	65
947	1178	64
948	1180	63
949	1181	62
950	1183	60
951	1184	59
952	1186	58
953	1187	57
954	1189	56
955	1190	54
956	1191	53
957	1193	52
958	1195	51
959	1196	49
960	1197	48
